Leader      		Follower
   x    ,   y   :    xp   , yp
-44.8705,24.0589:-44.8591,23.1241
-44.8704,25.4111:-44.8599,26.4619
-44.8638,28.4498:-44.8293,29.636
-44.8456,31.2258:-44.8102,32.939
-44.8215,34.1119:-44.7829,36.161
-44.8026,36.577:-44.7397,39.7372
-44.7872,38.5001:-44.7268,42.991
-44.7647,41.2659:-44.6728,46.3923
-44.7317,44.715:-44.6191,49.8411
-44.676,47.9757:-44.6689,53.3048
-44.6547,51.1418:-44.6561,56.7636
-44.6679,54.382:-44.5894,60.2191
-44.6402,57.6084:-44.3522,63.6495
-44.4885,60.8859:-43.9692,67.0388
-44.1751,64.1196:-43.3569,70.3673
-43.6881,67.3542:-42.5252,73.6585
-42.9617,70.5744:-41.5267,76.8605
-42.0509,73.7377:-40.2998,79.8934
-40.9554,76.7832:-38.778,82.8357
-39.6318,79.7136:-37.0516,85.6506
-38.072,82.5459:-35.1492,88.3109
-36.3188,85.2426:-33.0343,90.7682
-34.3954,87.7739:-30.7327,93.0573
-32.2785,90.1539:-28.2834,95.1504
-30.0123,92.3543:-25.6606,97.0369
-27.5937,94.3723:-22.9089,98.7121
-25.0442,96.1936:-20.0826,100.179
-22.43,97.8183:-17.1363,101.373
-19.7217,99.2317:-14.1427,102.335
-16.8952,100.439:-11.0375,103.088
-13.9382,101.44:-7.88693,103.689
-10.9062,102.285:-4.70936,104.174
-7.82367,103.01:-1.52556,104.537
-4.72627,103.626:1.69503,104.788
-1.59385,104.136:4.93846,104.956
1.57694,104.548:8.20071,105.064
4.78439,104.883:11.4847,105.127
8.02298,105.16:14.7815,105.16
11.2846,105.395:18.0926,105.171
14.5662,105.597:21.4183,105.167
17.8673,105.77:24.7545,105.152
21.1858,105.92:28.1728,105.17
24.5738,106.064:31.5548,105.261
27.9677,106.241:34.9113,105.339
31.3281,106.431:38.2913,105.386
34.691,106.594:41.675,105.407
38.0727,106.708:45.075,105.404
41.476,106.777:48.4859,105.381
44.895,106.809:51.894,105.336
48.315,106.809:55.286,105.248
51.721,106.767:58.6648,105.092
55.1134,106.657:62.0466,104.843
58.4996,106.455:65.3851,104.474
61.8608,106.141:68.6688,103.962
65.1768,105.691:71.9221,103.235
68.4596,105.041:75.0925,102.323
71.678,104.206:78.17,101.196
74.8098,103.172:81.1433,99.8459
77.844,101.926:83.9835,98.285
80.765,100.469:86.7007,96.5095
83.5741,98.8045:89.2445,94.5728
86.2361,96.9653:91.6201,92.4339
88.7294,94.9579:93.8357,90.0866
91.0704,92.7554:95.8337,87.6059
93.2252,90.4115:97.6209,84.9955
95.1838,87.928:99.2064,82.2658
96.9479,85.3228:100.531,79.4428
98.4939,82.6258:101.653,76.5089
99.8309,79.7989:102.543,73.5368
100.967,76.918:103.251,70.4568
101.91,73.9383:103.811,67.3281
102.71,70.8906:104.269,64.1895
103.393,67.8029:104.606,61.0447
103.97,64.7022:104.839,57.87
104.444,61.5721:104.994,54.6668
104.824,58.4059:105.093,51.4464
105.131,55.2071:105.151,48.2086
105.385,51.9837:105.18,44.9566
105.596,48.7365:105.189,41.6903
105.774,45.4724:105.183,38.41
105.923,42.1915:105.169,35.1202
106.048,38.896:105.171,31.7694
106.167,35.5418:105.279,28.3944
106.323,32.1564:105.386,25.0871
106.511,28.8164:105.46,21.7526
106.679,25.4961:105.506,18.4216
106.797,22.1592:105.516,15.0718
106.863,18.804:105.501,11.7139
106.884,15.4334:105.461,8.34588
106.867,12.0529:105.381,4.99761
106.809,8.68735:105.241,1.66595
106.691,5.33825:105.011,-1.65858
106.488,2.00028:104.666,-4.96096
106.178,-1.31581:104.183,-8.19964
105.737,-4.58783:103.486,-11.4
105.105,-7.81651:102.62,-14.5545
104.281,-11.0018:101.559,-17.6222
103.287,-14.1006:100.268,-20.5771
102.086,-17.1011:98.7588,-23.4302
100.671,-20.011:97.0583,-26.1461
99.0706,-22.7886:95.1571,-28.7034
